RANK: 1
OVERALL PERFORMANCE: 25.0%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1585245828887.0                        4
1585245828933.0                        4
1585245828978.0                        4
1585245829035.0                        4
1585245829078.0                        4
1585245829125.0                        4
1585245829187.0                        4
1585245829229.0                        4
1585245829274.0                        4
1585245829333.0                        4
1585245829379.0                        4
1585245829429.0                        4
1585245829476.0                        4
1585245829535.0                        4
1585245829579.0                        4
1585245829628.0                        4
1585245829684.0                        4
1585245829729.0                        4
1585245829775.0                        4
1585245829834.0                        4
1585245829877.0                        4
1585245829942.0                        4
1585245829979.0                        4
1585245830036.0                        4
1585245830081.0                        4
1585245830140.0                        4
1585245830186.0                        4
1585245830231.0                        4
1585245830291.0                        4
1585245830335.0                        4
1585245830380.0                        4
1585245830437.0                        4
1585245830482.0                        4
1585245830528.0                        4
1585245830584.0                        4
1585245830629.0                        4
1585245830688.0                        4
1585245830733.0                        4
1585245830777.0                        4
1585245830834.0                        4
1585245830878.0                        4
1585245830935.0                        4
1585245830983.0                        4
1585245831027.0                        4
1585245831091.0                        4
1585245831142.0                        4
1585245831191.0                        4
1585245831234.0                        4
1585245831280.0                        4
1585245831340.0                        4
1585245831386.0                        4
1585245831428.0                        4
1585245831485.0                        4
1585245831531.0                        4
1585245831593.0                        4
1585245831637.0                        4
1585245831685.0                        4
1585245831743.0                        4
1585245831785.0                        4
1585245831834.0                        4
1585245831893.0                        4
1585245831936.0                        4
1585245831980.0                        4
1585245832040.0                        4
1585245832092.0                        4
1585245832144.0                        4
1585245832190.0                        4
1585245832234.0                        4
1585245832292.0                        4
1585245832339.0                        4
1585245832383.0                        4
1585245832441.0                        4
1585245832485.0                        4
1585245832534.0                        4
1585245832592.0                        4
1585245832640.0                        4
1585245832687.0                        4
1585245832734.0                        4
1585245832792.0                        4
1585245832834.0                        4
1585245832880.0                        4
1585245832939.0                        4
1585245832982.0                        4
1585245833040.0                        4
1585245833086.0                        4
1585245833129.0                        4
1585245833187.0                        4
1585245833229.0                        5
1585245833283.0                        5
1585245833338.0                        5
1585245833380.0                        5
1585245833433.0                        5
1585245833487.0                        5
1585245833528.0                        5
1585245833583.0                        5
1585245833638.0                        5
1585245833680.0                        5
1585245833734.0                        5
1585245833790.0                        5
1585245833842.0                        5
1585245833891.0                        5
1585245833930.0                        5
