RANK: 1
OVERALL PERFORMANCE: 65.0%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1586430798974.0                        1
1586430799057.0                        1
1586430799144.0                        1
1586430799235.0                        1
1586430799312.0                        1
1586430799393.0                        1
1586430799478.0                        1
1586430799556.0                        1
1586430799637.0                        1
1586430799717.0                        1
1586430799796.0                        1
1586430799875.0                        1
1586430799952.0                        1
1586430800029.0                        1
1586430800112.0                        1
1586430800194.0                        1
1586430800281.0                        1
1586430800368.0                        1
1586430800448.0                        1
1586430800527.0                        1
1586430800608.0                        1
1586430800686.0                        1
1586430800765.0                        1
1586430800844.0                        1
1586430800926.0                        1
1586430801004.0                        1
1586430801086.0                        1
1586430801175.0                        1
1586430801253.0                        1
1586430801331.0                        1
1586430801410.0                        1
1586430801491.0                        1
1586430801577.0                        1
1586430801658.0                        1
1586430801737.0                        1
1586430801816.0                        1
1586430801894.0                        1
1586430801985.0                        1
1586430802066.0                        1
1586430802150.0                        1
1586430802226.0                        1
1586430802309.0                        1
1586430802385.0                        1
1586430802465.0                        1
1586430802542.0                        1
1586430802624.0                        1
1586430802700.0                        1
1586430802779.0                        1
1586430802868.0                        1
1586430802944.0                        1
1586430803024.0                        1
1586430803100.0                        1
1586430803198.0                        1
1586430803275.0                        1
1586430803355.0                        1
1586430803433.0                        1
1586430803520.0                        1
1586430803615.0                        1
1586430803701.0                        1
1586430803777.0                        1
1586430803856.0                        1
1586430803932.0                        1
1586430804007.0                        1
1586430804083.0                        1
1586430804158.0                        1
1586430804234.0                        1
1586430804314.0                        1
1586430804389.0                        1
1586430804462.0                        1
1586430804541.0                        1
1586430804615.0                        1
1586430804688.0                        1
1586430804763.0                        1
1586430804838.0                        1
1586430804911.0                        1
1586430804986.0                        1
1586430805063.0                        1
1586430805137.0                        1
1586430805212.0                        1
1586430805287.0                        1
1586430805371.0                        1
1586430805436.0                        1
1586430805512.0                        1
1586430805585.0                        1
1586430805658.0                        1
1586430805731.0                        1
1586430805802.0                        1
1586430805879.0                        1
1586430805965.0                        1
1586430806046.0                        1
1586430806123.0                        1
1586430806202.0                        1
1586430806279.0                        1
1586430806353.0                        1
1586430806426.0                        1
1586430806501.0                        1
1586430806576.0                        1
1586430806647.0                        1
1586430806719.0                        1
1586430806793.0                        1
1586430806869.0                        1
1586430806943.0                        1
1586430807021.0                        1
1586430807097.0                        1
1586430807169.0                        1
1586430807252.0                        1
1586430807326.0                        1
1586430807400.0                        1
1586430807474.0                        1
1586430807549.0                        1
1586430807625.0                        1
1586430807700.0                        1
1586430807777.0                        1
1586430807852.0                        1
1586430807927.0                        1
1586430808002.0                        1
1586430808076.0                        1
1586430808152.0                        1
1586430808227.0                        1
1586430808307.0                        1
1586430808384.0                        1
1586430808460.0                        1
1586430808540.0                        1
1586430808629.0                        1
1586430808706.0                        1
1586430808780.0                        1
1586430808851.0                        1
1586430808926.0                        1
1586430809001.0                        1
1586430809076.0                        1
1586430809151.0                        1
1586430809225.0                        1
1586430809301.0                        1
1586430809371.0                        1
1586430809450.0                        1
1586430809524.0                        1
1586430809600.0                        1
1586430809672.0                        1
1586430809744.0                        1
1586430809813.0                        1
1586430809884.0                        1
1586430809954.0                        1
1586430810026.0                        1
1586430810099.0                        1
1586430810171.0                        1
1586430810247.0                        1
1586430810324.0                        1
1586430810395.0                        1
1586430810466.0                        1
1586430810540.0                        1
1586430810611.0                        1
1586430810682.0                        1
1586430810754.0                        1
1586430810827.0                        1
1586430810897.0                        1
1586430810969.0                        1
1586430811043.0                        1
1586430811121.0                        1
1586430811195.0                        1
1586430811272.0                        1
1586430811342.0                        1
1586430811412.0                        1
1586430811484.0                        1
1586430811556.0                        1
1586430811630.0                        1
1586430811702.0                        1
1586430811774.0                        1
1586430811847.0                        1
1586430811919.0                        1
1586430811991.0                        1
1586430812063.0                        1
1586430812136.0                        1
1586430812207.0                        1
1586430812283.0                        1
1586430812356.0                        1
1586430812427.0                        1
1586430812498.0                        1
1586430812577.0                        1
1586430812655.0                        1
1586430812728.0                        1
1586430812799.0                        1
1586430812873.0                        1
1586430812944.0                        1
1586430813015.0                        1
1586430813087.0                        1
1586430813157.0                        1
1586430813230.0                        1
1586430813298.0                        1
1586430813370.0                        1
1586430813440.0                        1
1586430813514.0                        1
1586430813606.0                        1
1586430813686.0                        1
1586430813758.0                        1
1586430813831.0                        1
1586430813904.0                        1
1586430813975.0                        1
1586430814048.0                        1
1586430814121.0                        1
1586430814194.0                        1
1586430814273.0                        1
1586430814346.0                        1
1586430814418.0                        1
1586430814495.0                        1
1586430814572.0                        1
1586430814645.0                        1
1586430814719.0                        1
1586430814792.0                        1
1586430814863.0                        1
1586430814936.0                        1
1586430815010.0                        1
1586430815084.0                        1
1586430815157.0                        1
1586430815241.0                        1
1586430815317.0                        1
1586430815389.0                        1
1586430815461.0                        1
1586430815537.0                        1
1586430815610.0                        1
1586430815683.0                        1
1586430815758.0                        1
1586430815838.0                        1
1586430815903.0                        1
1586430815976.0                        1
1586430816051.0                        1
1586430816127.0                        1
1586430816206.0                        1
1586430816285.0                        1
1586430816359.0                        1
1586430816433.0                        1
1586430816506.0                        1
