RANK: 1
OVERALL PERFORMANCE: 15.0%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1587266980407.0                        5
1587266980478.0                        5
1587266980554.0                        5
1587266980626.0                        5
1587266980696.0                        5
1587266980773.0                        5
1587266980860.0                        5
1587266980938.0                        5
1587266981010.0                        5
1587266981080.0                        5
1587266981151.0                        5
1587266981222.0                        5
1587266981299.0                        5
1587266981370.0                        5
1587266981442.0                        5
1587266981520.0                        5
1587266981585.0                        5
1587266981655.0                        5
1587266981725.0                        5
1587266981797.0                        5
1587266981868.0                        5
1587266981938.0                        5
1587266982011.0                        5
1587266982080.0                        5
1587266982152.0                        5
1587266982223.0                        5
1587266982296.0                        5
1587266982366.0                        5
1587266982444.0                        5
1587266982522.0                        5
1587266982596.0                        5
1587266982663.0                        5
1587266982735.0                        5
1587266982805.0                        5
1587266982878.0                        5
1587266982946.0                        5
1587266983018.0                        5
1587266983088.0                        5
1587266983158.0                        5
1587266983228.0                        5
1587266983299.0                        5
1587266983369.0                        5
1587266983446.0                        5
1587266983523.0                        5
1587266983593.0                        5
1587266983665.0                        5
1587266983736.0                        5
1587266983810.0                        5
1587266983879.0                        5
1587266983949.0                        5
1587266984019.0                        5
1587266984087.0                        5
1587266984155.0                        5
1587266984224.0                        5
1587266984294.0                        5
1587266984362.0                        5
1587266984433.0                        5
1587266984501.0                        5
1587266984568.0                        5
1587266984636.0                        5
1587266984704.0                        5
1587266984771.0                        5
1587266984839.0                        5
1587266984907.0                        5
1587266984974.0                        5
1587266985047.0                        5
1587266985114.0                        5
1587266985184.0                        5
1587266985250.0                        5
1587266985328.0                        5
1587266985394.0                        5
1587266985460.0                        5
1587266985528.0                        5
1587266985593.0                        5
1587266985660.0                        5
1587266985727.0                        5
1587266985796.0                        5
1587266985879.0                        5
1587266985951.0                        5
1587266986019.0                        5
1587266986086.0                        5
1587266986160.0                        5
1587266986220.0                        5
1587266986287.0                        5
1587266986354.0                        5
1587266986421.0                        5
1587266986488.0                        5
1587266986554.0                        5
1587266986626.0                        5
1587266986699.0                        5
1587266986771.0                        5
1587266986840.0                        5
1587266986907.0                        5
1587266986973.0                        5
1587266987041.0                        5
1587266987108.0                        5
1587266987177.0                        5
1587266987244.0                        5
1587266987313.0                        5
1587266987382.0                        5
1587266987449.0                        5
1587266987517.0                        5
1587266987584.0                        5
1587266987657.0                        5
1587266987733.0                        5
1587266987801.0                        5
1587266987869.0                        5
1587266987936.0                        5
1587266988004.0                        5
1587266988073.0                        5
1587266988139.0                        5
1587266988206.0                        5
1587266988270.0                        5
1587266988335.0                        5
1587266988401.0                        5
1587266988466.0                        5
1587266988531.0                        5
1587266988595.0                        5
1587266988664.0                        5
1587266988731.0                        5
1587266988792.0                        5
1587266988857.0                        5
1587266988921.0                        5
1587266988983.0                        5
1587266989046.0                        5
1587266989114.0                        5
1587266989174.0                        5
1587266989238.0                        5
1587266989309.0                        5
1587266989372.0                        5
1587266989437.0                        5
1587266989500.0                        5
1587266989563.0                        5
1587266989625.0                        5
1587266989689.0                        5
1587266989751.0                        5
1587266989815.0                        5
1587266989878.0                        5
1587266989940.0                        5
1587266990004.0                        5
1587266990067.0                        5
1587266990130.0                        5
1587266990192.0                        5
1587266990260.0                        5
1587266990331.0                        5
1587266990396.0                        5
1587266990456.0                        5
1587266990519.0                        5
1587266990579.0                        5
1587266990639.0                        5
1587266990701.0                        5
1587266990763.0                        5
1587266990832.0                        5
1587266990904.0                        5
1587266990965.0                        5
1587266991029.0                        5
1587266991089.0                        5
1587266991149.0                        5
1587266991212.0                        5
1587266991280.0                        5
1587266991348.0                        5
1587266991410.0                        5
1587266991469.0                        5
1587266991530.0                        5
1587266991587.0                        5
1587266991645.0                        5
