RANK: 1
OVERALL PERFORMANCE: 50.0%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1585245710243.0                        5
1585245710291.0                        5
1585245710335.0                        5
1585245710396.0                        5
1585245710440.0                        5
1585245710487.0                        5
1585245710532.0                        5
1585245710591.0                        5
1585245710639.0                        5
1585245710682.0                        5
1585245710741.0                        5
1585245710787.0                        5
1585245710832.0                        5
1585245710890.0                        5
1585245710936.0                        5
1585245710995.0                        5
1585245711041.0                        5
1585245711083.0                        5
1585245711140.0                        5
1585245711186.0                        5
1585245711250.0                        5
1585245711298.0                        5
1585245711348.0                        5
1585245711397.0                        5
1585245711439.0                        5
1585245711498.0                        5
1585245711544.0                        5
1585245711590.0                        5
1585245711637.0                        5
1585245711695.0                        5
1585245711750.0                        5
1585245711789.0                        5
1585245711845.0                        5
1585245711890.0                        5
1585245711939.0                        5
1585245711998.0                        5
1585245712042.0                        5
1585245712087.0                        5
1585245712145.0                        5
1585245712190.0                        5
1585245712238.0                        5
1585245712297.0                        5
1585245712340.0                        5
1585245712387.0                        5
1585245712453.0                        5
1585245712495.0                        5
1585245712540.0                        5
1585245712599.0                        5
1585245712646.0                        5
1585245712695.0                        5
1585245712740.0                        5
1585245712798.0                        5
1585245712846.0                        5
1585245712893.0                        5
1585245712955.0                        5
1585245712998.0                        5
1585245713044.0                        5
1585245713103.0                        5
1585245713155.0                        5
1585245713198.0                        5
1585245713245.0                        5
1585245713289.0                        5
1585245713350.0                        5
1585245713402.0                        5
1585245713454.0                        5
1585245713504.0                        5
1585245713554.0                        5
1585245713605.0                        5
1585245713655.0                        5
1585245713703.0                        5
1585245713748.0                        5
1585245713797.0                        5
1585245713849.0                        5
1585245713902.0                        5
1585245713947.0                        5
1585245713994.0                        5
1585245714052.0                        5
1585245714096.0                        5
1585245714143.0                        5
1585245714203.0                        5
1585245714250.0                        5
1585245714296.0                        5
1585245714344.0                        5
1585245714406.0                        5
1585245714456.0                        5
1585245714511.0                        5
1585245714562.0                        5
1585245714613.0                        5
1585245714661.0                        5
1585245714705.0                        5
1585245714752.0                        5
1585245714812.0                        5
1585245714857.0                        5
1585245714904.0                        5
1585245714962.0                        5
1585245715006.0                        5
1585245715053.0                        5
1585245715112.0                        5
1585245715158.0                        5
1585245715202.0                        5
1585245715261.0                        5
1585245715308.0                        5
1585245715352.0                        5
1585245715412.0                        5
1585245715455.0                        5
1585245715503.0                        5
1585245715561.0                        5
1585245715604.0                        5
1585245715653.0                        5
1585245715699.0                        5
1585245715758.0                        5
1585245715804.0                        5
1585245715852.0                        5
1585245715910.0                        5
1585245715957.0                        5
1585245716003.0                        5
1585245716061.0                        5
1585245716104.0                        5
1585245716151.0                        5
1585245716211.0                        5
1585245716259.0                        5
1585245716306.0                        5
1585245716352.0                        5
1585245716410.0                        5
1585245716453.0                        5
1585245716499.0                        5
1585245716561.0                        5
1585245716611.0                        5
1585245716662.0                        5
1585245716716.0                        5
1585245716768.0                        5
1585245716819.0                        5
1585245716869.0                        5
1585245716912.0                        5
1585245716960.0                        5
1585245717016.0                        5
1585245717060.0                        5
1585245717107.0                        5
1585245717167.0                        5
1585245717209.0                        5
1585245717267.0                        5
1585245717311.0                        5
1585245717358.0                        5
1585245717418.0                        5
1585245717460.0                        5
1585245717518.0                        5
1585245717561.0                        5
1585245717611.0                        5
1585245717659.0                        5
1585245717710.0                        5
1585245717760.0                        5
1585245717809.0                        5
1585245717868.0                        5
1585245717910.0                        5
1585245717959.0                        5
1585245718017.0                        5
1585245718059.0                        5
1585245718116.0                        5
1585245718158.0                        5
1585245718217.0                        5
1585245718259.0                        5
1585245718317.0                        5
1585245718358.0                        5
1585245718416.0                        5
1585245718459.0                        5
1585245718518.0                        5
1585245718559.0                        5
1585245718616.0                        5
1585245718660.0                        5
1585245718717.0                        5
1585245718765.0                        5
1585245718816.0                        5
1585245718867.0                        5
1585245718916.0                        5
1585245718958.0                        5
1585245719016.0                        5
1585245719058.0                        5
1585245719123.0                        5
1585245719175.0                        5
1585245719223.0                        5
1585245719272.0                        5
1585245719320.0                        5
1585245719366.0                        5
1585245719422.0                        5
1585245719465.0                        5
1585245719525.0                        5
1585245719566.0                        5
1585245719624.0                        5
1585245719665.0                        5
1585245719723.0                        5
1585245719765.0                        5
1585245719820.0                        5
1585245719864.0                        5
1585245719921.0                        5
1585245719963.0                        5
1585245720022.0                        5
1585245720067.0                        5
1585245720111.0                        5
1585245720167.0                        5
1585245720209.0                        5
1585245720264.0                        5
1585245720318.0                        5
1585245720362.0                        5
1585245720417.0                        5
1585245720459.0                        5
1585245720513.0                        5
1585245720569.0                        5
1585245720614.0                        5
1585245720674.0                        5
1585245720719.0                        5
1585245720762.0                        5
1585245720820.0                        5
1585245720863.0                        5
1585245720916.0                        5
1585245720972.0                        5
1585245721013.0                        5
1585245721065.0                        5
1585245721120.0                        5
1585245721162.0                        5
1585245721218.0                        5
1585245721261.0                        5
1585245721320.0                        5
1585245721373.0                        5
1585245721433.0                        5
1585245721490.0                        5
1585245721564.0                        5
1585245721614.0                        5
1585245721664.0                        5
1585245721714.0                        5
1585245721765.0                        5
1585245721812.0                        5
1585245721853.0                        5
1585245721907.0                        5
1585245721950.0                        5
1585245722005.0                        5
1585245722061.0                        5
1585245722102.0                        5
1585245722156.0                        5
1585245722210.0                        5
1585245722251.0                        5
1585245722305.0                        5
1585245722363.0                        5
1585245722410.0                        5
1585245722454.0                        5
1585245722513.0                        5
1585245722560.0                        5
1585245722601.0                        5
1585245722656.0                        5
1585245722700.0                        5
1585245722754.0                        5
1585245722810.0                        5
1585245722851.0                        5
1585245722904.0                        5
1585245722959.0                        5
1585245723000.0                        5
1585245723055.0                        5
1585245723104.0                        5
1585245723157.0                        5
1585245723209.0                        5
1585245723251.0                        5
1585245723305.0                        5
1585245723353.0                        5
1585245723405.0                        5
1585245723458.0                        5
1585245723499.0                        5
1585245723553.0                        5
1585245723605.0                        5
1585245723660.0                        5
1585245723708.0                        5
1585245723755.0                        5
1585245723814.0                        5
1585245723863.0                        5
1585245723911.0                        5
1585245723954.0                        5
1585245724012.0                        5
1585245724053.0                        5
1585245724103.0                        5
1585245724153.0                        5
1585245724203.0                        5
1585245724254.0                        5
1585245724304.0                        5
1585245724353.0                        5
1585245724402.0                        5
1585245724453.0                        5
1585245724502.0                        5
1585245724553.0                        5
1585245724604.0                        5
1585245724654.0                        5
1585245724703.0                        5
1585245724752.0                        5
1585245724807.0                        5
1585245724853.0                        5
1585245724904.0                        5
1585245724953.0                        5
1585245725002.0                        5
1585245725053.0                        5
1585245725107.0                        5
1585245725161.0                        5
1585245725202.0                        5
1585245725253.0                        5
1585245725301.0                        5
1585245725357.0                        5
1585245725410.0                        5
1585245725450.0                        5
1585245725502.0                        5
1585245725552.0                        5
1585245725603.0                        5
1585245725651.0                        5
1585245725702.0                        5
1585245725752.0                        5
1585245725801.0                        5
1585245725852.0                        5
1585245725907.0                        5
1585245725960.0                        5
1585245726001.0                        5
1585245726058.0                        5
1585245726109.0                        5
1585245726150.0                        5
1585245726208.0                        5
1585245726251.0                        5
1585245726310.0                        5
1585245726357.0                        5
1585245726411.0                        5
1585245726490.0                        5
1585245726566.0                        5
1585245726639.0                        5
1585245726709.0                        5
1585245726776.0                        5
1585245726844.0                        5
1585245726910.0                        5
1585245726978.0                        5
1585245727042.0                        5
1585245727108.0                        5
1585245727175.0                        5
1585245727242.0                        5
1585245727307.0                        5
1585245727373.0                        5
1585245727451.0                        5
1585245727525.0                        5
1585245727598.0                        5
1585245727669.0                        5
1585245727734.0                        5
1585245727800.0                        5
1585245727865.0                        5
1585245727929.0                        5
1585245727993.0                        5
1585245728057.0                        5
1585245728125.0                        1
1585245728185.0                        1
1585245728249.0                        1
1585245728313.0                        1
1585245728377.0                        1
1585245728441.0                        1
1585245728507.0                        1
1585245728577.0                        1
1585245728652.0                        1
1585245728717.0                        1
1585245728789.0                        1
1585245728866.0                        1
1585245728931.0                        1
1585245728995.0                        1
1585245729059.0                        1
1585245729123.0                        1
1585245729187.0                        1
1585245729252.0                        1
1585245729316.0                        1
1585245729380.0                        1
1585245729445.0                        1
1585245729512.0                        1
1585245729580.0                        1
1585245729653.0                        1
1585245729722.0                        1
1585245729787.0                        1
1585245729850.0                        1
1585245729929.0                        1
1585245730002.0                        1
1585245730068.0                        1
1585245730133.0                        1
1585245730198.0                        1
1585245730263.0                        1
1585245730327.0                        1
1585245730392.0                        1
1585245730457.0                        1
1585245730531.0                        1
1585245730620.0                        1
1585245730694.0                        1
1585245730759.0                        1
1585245730825.0                        1
1585245730890.0                        1
1585245730954.0                        1
1585245731018.0                        1
1585245731082.0                        1
1585245731146.0                        1
1585245731210.0                        1
1585245731275.0                        1
1585245731346.0                        1
1585245731414.0                        1
1585245731479.0                        1
1585245731541.0                        1
1585245731609.0                        1
1585245731673.0                        1
1585245731737.0                        1
1585245731800.0                        1
1585245731863.0                        1
1585245731927.0                        1
1585245731991.0                        1
1585245732055.0                        1
1585245732119.0                        1
1585245732188.0                        1
1585245732254.0                        1
1585245732318.0                        1
1585245732382.0                        1
1585245732445.0                        1
1585245732511.0                        1
1585245732575.0                        1
1585245732645.0                        1
1585245732709.0                        1
1585245732772.0                        1
1585245732835.0                        1
1585245732900.0                        1
1585245732963.0                        1
1585245733027.0                        1
1585245733092.0                        1
1585245733153.0                        1
1585245733220.0                        1
1585245733280.0                        1
1585245733343.0                        1
1585245733408.0                        1
1585245733473.0                        1
1585245733535.0                        1
1585245733601.0                        1
1585245733668.0                        1
1585245733740.0                        1
1585245733814.0                        1
1585245733894.0                        1
1585245733959.0                        1
1585245734031.0                        1
1585245734087.0                        1
1585245734152.0                        1
1585245734213.0                        1
1585245734277.0                        1
1585245734337.0                        1
1585245734402.0                        1
1585245734466.0                        1
1585245734529.0                        1
1585245734592.0                        1
1585245734658.0                        1
1585245734722.0                        1
1585245734785.0                        1
1585245734848.0                        1
1585245734911.0                        1
1585245734975.0                        1
1585245735036.0                        1
1585245735101.0                        1
1585245735162.0                        1
1585245735225.0                        1
1585245735292.0                        1
1585245735359.0                        1
1585245735421.0                        1
1585245735484.0                        1
1585245735547.0                        1
1585245735611.0                        1
1585245735676.0                        1
1585245735735.0                        1
1585245735796.0                        1
1585245735858.0                        1
1585245735921.0                        1
1585245735983.0                        1
1585245736046.0                        1
1585245736109.0                        1
1585245736171.0                        1
1585245736235.0                        1
1585245736300.0                        1
1585245736360.0                        1
1585245736422.0                        1
1585245736485.0                        1
1585245736546.0                        1
1585245736609.0                        1
1585245736674.0                        1
1585245736737.0                        1
1585245736808.0                        1
1585245736877.0                        1
1585245736945.0                        1
1585245737008.0                        1
1585245737072.0                        1
1585245737134.0                        1
1585245737196.0                        1
1585245737259.0                        1
1585245737320.0                        1
1585245737381.0                        1
1585245737442.0                        1
1585245737503.0                        1
1585245737566.0                        1
1585245737626.0                        1
1585245737688.0                        1
1585245737749.0                        1
1585245737815.0                        1
1585245737883.0                        1
1585245737944.0                        1
1585245738005.0                        1
1585245738067.0                        1
1585245738127.0                        1
1585245738190.0                        1
1585245738249.0                        1
1585245738309.0                        1
1585245738369.0                        1
1585245738430.0                        1
1585245738491.0                        1
1585245738552.0                        1
1585245738620.0                        1
1585245738688.0                        1
1585245738754.0                        1
1585245738832.0                        1
1585245738901.0                        1
1585245738963.0                        1
1585245739024.0                        1
1585245739086.0                        1
1585245739146.0                        1
1585245739206.0                        1
1585245739267.0                        1
1585245739329.0                        1
1585245739390.0                        1
1585245739451.0                        1
1585245739512.0                        1
1585245739573.0                        1
1585245739646.0                        1
1585245739709.0                        1
1585245739770.0                        1
1585245739830.0                        1
1585245739890.0                        1
1585245739951.0                        1
1585245740013.0                        1
1585245740072.0                        1
1585245740131.0                        1
1585245740191.0                        1
1585245740254.0                        1
1585245740313.0                        1
1585245740373.0                        1
1585245740437.0                        1
1585245740504.0                        1
1585245740565.0                        1
1585245740627.0                        1
1585245740688.0                        1
1585245740750.0                        1
1585245740811.0                        1
1585245740873.0                        1
1585245740933.0                        1
1585245740996.0                        1
1585245741062.0                        1
1585245741115.0                        1
1585245741179.0                        1
1585245741238.0                        1
1585245741305.0                        1
1585245741371.0                        1
1585245741432.0                        1
1585245741493.0                        1
1585245741554.0                        1
1585245741616.0                        1
1585245741677.0                        1
1585245741737.0                        1
1585245741798.0                        1
1585245741861.0                        1
1585245741921.0                        1
1585245741979.0                        1
1585245742040.0                        1
1585245742103.0                        1
1585245742169.0                        1
1585245742231.0                        1
1585245742294.0                        1
1585245742351.0                        1
1585245742409.0                        1
1585245742468.0                        1
1585245742527.0                        1
1585245742585.0                        1
1585245742645.0                        1
1585245742705.0                        1
1585245742761.0                        1
1585245742819.0                        1
1585245742883.0                        1
1585245742948.0                        1
1585245743013.0                        1
1585245743069.0                        1
1585245743126.0                        1
1585245743184.0                        1
1585245743242.0                        1
1585245743302.0                        1
1585245743357.0                        1
1585245743413.0                        1
1585245743467.0                        1
1585245743525.0                        1
1585245743581.0                        1
1585245743640.0                        1
1585245743698.0                        1
1585245743758.0                        1
1585245743820.0                        1
1585245743884.0                        1
1585245743942.0                        1
1585245744000.0                        1
1585245744054.0                        1
1585245744110.0                        1
1585245744167.0                        1
1585245744223.0                        1
1585245744279.0                        1
1585245744343.0                        1
1585245744391.0                        1
1585245744448.0                        1
1585245744504.0                        1
1585245744560.0                        1
1585245744617.0                        1
1585245744675.0                        1
1585245744730.0                        1
1585245744785.0                        1
1585245744841.0                        1
1585245744900.0                        1
1585245744950.0                        1
1585245745004.0                        1
1585245745057.0                        1
1585245745110.0                        1
1585245745165.0                        1
1585245745221.0                        1
1585245745284.0                        1
1585245745341.0                        1
1585245745400.0                        1
1585245745459.0                        1
1585245745514.0                        1
1585245745566.0                        1
1585245745621.0                        1
1585245745674.0                        1
1585245745724.0                        1
1585245745774.0                        1
1585245745824.0                        1
1585245745875.0                        1
1585245745924.0                        1
1585245745974.0                        1
1585245746024.0                        1
1585245746074.0                        1
1585245746123.0                        1
1585245746173.0                        1
1585245746233.0                        1
1585245746282.0                        1
1585245746332.0                        1
1585245746382.0                        1
1585245746432.0                        1
1585245746483.0                        1
1585245746533.0                        1
1585245746585.0                        1
1585245746639.0                        1
1585245746691.0                        1
1585245746743.0                        1
1585245746794.0                        1
1585245746845.0                        1
1585245746898.0                        1
1585245746947.0                        1
1585245746999.0                        1
1585245747048.0                        1
1585245747098.0                        1
1585245747147.0                        1
1585245747199.0                        1
1585245747249.0                        1
1585245747299.0                        1
1585245747347.0                        1
1585245747398.0                        1
1585245747447.0                        1
1585245747497.0                        1
1585245747547.0                        1
1585245747598.0                        1
1585245747651.0                        1
1585245747706.0                        1
1585245747763.0                        1
1585245747820.0                        1
1585245747873.0                        1
1585245747931.0                        1
1585245747984.0                        1
1585245748035.0                        1
