RANK: 1
OVERALL PERFORMANCE: 25.0%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1587266807299.0                        1
1587266807370.0                        1
1587266807440.0                        1
1587266807510.0                        1
1587266807582.0                        1
1587266807653.0                        1
1587266807721.0                        1
1587266807791.0                        1
1587266807858.0                        1
1587266807928.0                        1
1587266808001.0                        1
1587266808076.0                        1
1587266808143.0                        1
1587266808212.0                        1
1587266808281.0                        1
1587266808349.0                        1
1587266808418.0                        1
1587266808482.0                        1
1587266808548.0                        1
1587266808615.0                        1
1587266808682.0                        1
1587266808749.0                        1
1587266808817.0                        1
1587266808892.0                        1
1587266808959.0                        1
1587266809025.0                        1
1587266809100.0                        1
1587266809168.0                        1
1587266809233.0                        1
1587266809300.0                        1
1587266809368.0                        1
1587266809434.0                        1
1587266809501.0                        1
1587266809568.0                        1
1587266809634.0                        1
1587266809709.0                        1
1587266809778.0                        1
1587266809844.0                        1
1587266809914.0                        1
1587266809980.0                        1
1587266810047.0                        1
1587266810114.0                        1
1587266810180.0                        1
1587266810247.0                        1
1587266810314.0                        1
1587266810380.0                        1
1587266810446.0                        1
1587266810517.0                        1
1587266810591.0                        1
1587266810657.0                        1
1587266810723.0                        1
1587266810789.0                        1
1587266810866.0                        1
1587266810941.0                        1
1587266813912.0                        1
1587266813980.0                        1
1587266814049.0                        1
1587266814110.0                        1
1587266814172.0                        1
1587266814232.0                        1
1587266814293.0                        1
1587266814355.0                        1
1587266814413.0                        1
1587266814472.0                        1
1587266814533.0                        1
1587266814596.0                        1
1587266814655.0                        1
1587266814714.0                        1
1587266814774.0                        1
1587266814833.0                        1
1587266814896.0                        1
1587266814964.0                        1
1587266815032.0                        1
1587266815093.0                        1
1587266815153.0                        1
1587266815213.0                        1
1587266815272.0                        1
1587266815332.0                        1
1587266815394.0                        1
1587266815453.0                        1
1587266815513.0                        1
1587266815571.0                        1
1587266815627.0                        1
1587266815687.0                        1
1587266815745.0                        1
1587266815804.0                        1
1587266815870.0                        1
1587266815937.0                        1
1587266815999.0                        1
1587266816054.0                        1
1587266816110.0                        1
1587266816165.0                        1
1587266816221.0                        1
1587266816279.0                        1
1587266816336.0                        1
1587266816391.0                        1
1587266816445.0                        1
1587266816502.0                        1
1587266816557.0                        1
1587266816611.0                        1
1587266816668.0                        1
1587266816722.0                        1
1587266816777.0                        1
1587266816833.0                        1
1587266816887.0                        1
1587266816943.0                        1
1587266816997.0                        1
1587266817052.0                        1
1587266817111.0                        1
1587266817166.0                        1
1587266817218.0                        1
1587266817268.0                        1
1587266817318.0                        1
1587266820200.0                        1
1587266820246.0                        1
1587266820299.0                        1
1587266820350.0                        1
1587266820404.0                        1
1587266820457.0                        1
1587266820501.0                        1
1587266820549.0                        1
1587266820595.0                        1
1587266820667.0                        1
1587266820751.0                        1
1587266820818.0                        1
1587266820893.0                        1
1587266820983.0                        1
1587266821062.0                        1
1587266821134.0                        1
1587266821212.0                        1
1587266831088.0                        1
1587266831133.0                        1
1587266831180.0                        1
1587266831234.0                        1
1587266831280.0                        1
1587266831335.0                        1
1587266831380.0                        1
1587266831434.0                        1
1587266831482.0                        1
1587266831538.0                        1
1587266831581.0                        1
1587266831634.0                        1
1587266831681.0                        1
1587266831733.0                        1
1587266831779.0                        1
1587266831833.0                        1
1587266831888.0                        1
1587266831930.0                        1
1587266831984.0                        1
1587266832029.0                        1
1587266832086.0                        1
